lon,lat,name,number
9.24946331419502,45.5711929154614,Via Fiore Martelli,"5"
9.24938858067698,45.5713190929787,Via Fiore Martelli,"3"
9.25021079220569,45.5699671502387,Via Roberto Crippa,"1"
9.25096094678802,45.5700645160083,Via Roberto Crippa,"3"
9.25116129161835,45.5700865782691,Via Roberto Crippa,"5"
9.25209479675694,45.57177221423,Via Lucania,"5"
9.25349972092134,45.5728267344185,Via Liguria,"5"
9.25161763825971,45.5678938326912,Via Aldina,"8"
9.25054702754992,45.5688502858917,Via Tronto,"4"
9.25072167612172,45.5688589037405,Via Tronto,"2"
9.24992103938519,45.5696527485781,Viale Campania,"84"
9.25565645711007,45.5753737172796,Via Emilia,"12"
9.26194568267614,45.5738518344194,Via Dario Niccodemi,"10"
