id;name;lat;lon;category;subcategory;wheelchair;source
osm:node_12198518702;"Pizzeria d'asporto ""Hula-Hop""";45.5752197;9.2595649;amenity;restaurant;;osm_node
osm:node_12204794629;Giuseppe Mazzini;45.5803369;9.2734831;historic;memorial;;osm_node
osm:node_12204885623;Banca Mediolanum;45.5866007;9.274127;amenity;bank;;osm_node
osm:node_12204885624;Coldwell Banker;45.5867626;9.274067;office;estate_agent;;osm_node
osm:node_12211666566;AMT Impianti;45.5808615;9.2704857;office;company;;osm_node
osm:node_12215094234;Eni Station - Viale Lombardia, 166, Monza;45.5743349;9.246847;amenity;charging_station;;osm_node
osm:node_12292530096;The Bank;45.5886857;9.2523394;amenity;bar;;osm_node
osm:node_12309910953;Rewind;45.5643269;9.2801058;amenity;cafe;;osm_node
osm:node_12319659297;Anytime Fitness;45.5764939;9.2643636;leisure;fitness_centre;;osm_node
osm:node_12319659298;Auto Blu Quaranta;45.5699237;9.3180619;shop;car_repair;;osm_node
osm:node_12356889653;Sironi marmi;45.57497;9.2965542;craft;stonemason;;osm_node
osm:node_12356889655;San Giorgio;45.569228;9.3107762;shop;bakery;;osm_node
osm:node_12356889668;Ciclofficina Rinnova;45.5770527;9.2759066;shop;bicycle;;osm_node
osm:node_12356889669;Ri.gom.ma;45.5887604;9.252338;shop;tyres;;osm_node
osm:node_12373914245;Cineteatro Triante;45.5800606;9.2524912;amenity;theatre;;osm_node
osm:node_12385347009;Compton tattoo & piercing shop;45.5693898;9.3110107;shop;tattoo;;osm_node
osm:node_12409813454;INPS;45.584844;9.300629;office;government;;osm_node
osm:node_12436812125;Zorloni & Castellucchio;45.5607311;9.2633728;shop;computer;yes;osm_node
osm:node_12463884943;Dyadea;45.5766793;9.2644014;healthcare;clinic;;osm_node
osm:node_12467278173;Emmevigas;45.5740897;9.2768329;office;company;;osm_node
osm:node_12475748762;FlyLab travels;45.5794155;9.2824454;shop;travel_agency;;osm_node
osm:node_12482314921;KFC;45.5796458;9.2729845;amenity;fast_food;;osm_node
osm:node_12497025236;La svolta;45.5657169;9.2812403;amenity;cafe;;osm_node
osm:node_12499227064;Locker Stazione di servizio ENI - Monza;45.5741779;9.246915;amenity;parcel_locker;;osm_node
osm:node_12512598407;Mondo dei fiori;45.5738237;9.2970986;shop;florist;;osm_node
osm:node_12549969564;dog;45.6004644;9.276042;office;company;;osm_node
osm:node_12570727031;Officine Libra;45.5732664;9.2830981;amenity;pub;;osm_node
osm:node_12581824474;Giunti Al Punto;45.601151;9.2602977;shop;books;;osm_node
osm:node_12581824475;Le Calze;45.6011335;9.2601372;shop;clothes;;osm_node
osm:node_12581824477;Parafarmacia;45.6010733;9.2605705;amenity;pharmacy;;osm_node
osm:node_12581824478;Ottica San Gerardo;45.6014238;9.2606168;shop;optician;;osm_node
osm:node_12581824479;Linea Serenità;45.6013001;9.2606544;shop;clothes;;osm_node
osm:node_12581849302;Borse E Molto Di Più;45.6010308;9.2605791;shop;bag;;osm_node
osm:node_12581849303;Lindor;45.6009666;9.2605966;shop;chocolate;;osm_node
osm:node_12581853303;Gioielli Di Venezia;45.6011055;9.2600275;shop;jewelry;;osm_node
osm:node_12766828517;Farmacia 11;45.5763163;9.2644398;amenity;pharmacy;;osm_node
osm:node_12778484342;Intenational School of Monza;45.5775273;9.2660305;amenity;school;;osm_node
osm:node_12803975188;Bocciodromo Rosmini;45.5615342;9.2762801;leisure;pitch;;osm_node
osm:node_12803975189;Bar Bisboccia;45.5616412;9.2762238;amenity;cafe;;osm_node
osm:node_12803975190;ARCI Scuotivento;45.5616436;9.2763272;office;association;;osm_node
osm:node_12812618890;Pole carousel;45.5774753;9.2766189;amenity;dancing_school;;osm_node
osm:node_12812618892;Piazza Castello, 13a - MONZA;45.5780673;9.2748828;amenity;charging_station;;osm_node
osm:node_12854272651;Trattoria del Mercato;45.581785;9.2761456;amenity;restaurant;;osm_node
osm:node_12889185651;Redaelli ingrosso;45.5954724;9.2422217;shop;clothes;;osm_node
osm:node_12901437837;Primadonna;45.5817697;9.2737812;shop;shoes;;osm_node
osm:node_12983944800;Ristorante Silvestro;45.5946974;9.2934149;amenity;restaurant;;osm_node
osm:node_12988184410;Liberbar;45.5902536;9.3029907;amenity;bar;;osm_node
osm:node_12993958125;Hotel de la Ville;45.5924731;9.2715087;tourism;hotel;;osm_node
